28 7 2 1 0 1 0 0 6 3 1 999 0 1 1.4 93.918 -42.7 4.963 5228.1 0
48 9 1 0 2 0 0 0 10 4 1 999 0 1 -0.1 93.2 -42 4.021 5195.8 0
51 7 0 1 2 0 1 1 4 2 3 999 0 1 1.1 93.994 -36.4 4.856 5191 0
46 4 1 2 2 0 0 1 4 0 4 999 0 1 1.1 93.994 -36.4 4.858 5191 0
35 6 1 6 0 1 0 0 6 3 1 999 0 1 1.4 93.918 -42.7 4.958 5228.1 0
54 9 1 6 0 1 0 1 5 3 1 999 0 1 1.4 94.465 -41.8 4.958 5228.1 0
34 0 1 6 0 2 2 0 10 4 1 999 0 1 -0.1 93.2 -42 4.021 5195.8 0
50 1 1 7 2 1 0 0 6 3 2 999 0 1 1.4 93.918 -42.7 4.958 5228.1 0
33 0 1 6 0 0 0 1 4 0 1 999 0 1 1.1 93.994 -36.4 4.857 5191 0
39 1 1 0 2 0 0 1 4 1 2 999 0 1 1.1 93.994 -36.4 4.857 5191 0
33 0 0 6 0 1 0 0 7 1 2 999 0 1 1.4 93.444 -36.1 4.963 5228.1 0
33 9 2 2 0 1 1 0 7 0 1 999 2 0 -2.9 92.201 -31.4 0.884 5076.2 1
76 5 1 6 0 2 2 0 11 3 6 999 1 0 -3 92.713 -33 0.712 5023.5 0
50 1 1 0 0 1 0 0 4 2 1 999 1 0 -1.8 92.893 -46.2 1.334 5099.1 0
32 9 0 5 0 1 0 0 10 1 1 999 1 0 -0.1 93.2 -42 4.153 5195.8 0
27 7 2 6 0 1 0 0 2 4 3 999 1 0 -1.8 93.369 -34.8 0.649 5008.7 1
37 9 1 5 0 1 0 1 6 2 4 999 0 1 1.4 93.918 -42.7 4.963 5228.1 0
34 7 1 3 0 1 0 1 4 4 1 999 0 1 1.1 93.994 -36.4 4.864 5191 0
31 1 2 6 0 0 0 0 6 4 3 999 0 1 1.4 93.918 -42.7 4.957 5228.1 0
36 4 1 6 0 1 0 0 10 3 3 999 0 1 -0.1 93.2 -42 4.076 5195.8 0
26 1 2 3 0 1 0 0 6 4 1 999 0 1 1.4 93.918 -42.7 4.957 5228.1 0
39 0 1 6 0 1 0 1 5 1 12 999 0 1 1.4 94.465 -41.8 4.864 5228.1 0
50 6 1 6 0 0 0 1 4 2 1 999 0 1 1.1 93.994 -36.4 4.856 5191 0
