  -5.7142857e-01  -5.2631579e-01  -1
  -2.0000000e+00  -8.1871345e-01  -1
  -3.2258065e-01  -2.4444444e+00   1
  -1.3087558e+00  -6.7836257e-01  -1
  -1.4285714e+00  -1.1111111e+00  -1
   3.7788018e-01  -2.6549708e+00   1
  -1.6682028e+00  -6.6666667e-01  -1
   2.7649770e-01  -2.6432749e+00   1
  -7.5576037e-01  -2.5614035e+00   1
   4.8847926e-01  -8.1871345e-01   1
  -2.1013825e+00  -1.1695906e+00  -1
   1.3824885e-01  -2.4795322e+00   1
  -1.3271889e+00   2.6900585e-01  -1
  -1.3548387e+00   3.3918129e-01  -1
  -2.2580645e+00  -2.2573099e+00  -1
  -1.3087558e+00  -3.6257310e-01  -1
   3.8709677e-01  -2.6081871e+00   1
  -2.1013825e+00  -1.4970760e+00  -1
  -1.9354839e+00  -8.3040936e-01  -1
  -2.7926267e+00   7.1345029e-01  -1
   7.0046083e-01  -2.8771930e+00   1
  -9.4009217e-01  -2.5847953e+00   1
  -1.7419355e+00  -2.9239766e-01  -1
  -1.4746544e+00  -7.3684211e-01  -1
  -5.8986175e-01  -2.1871345e+00   1
  -1.6129032e+00  -1.4035088e-01  -1
  -1.8894009e+00  -3.6257310e-01  -1
   3.9631336e-01  -2.5146199e+00   1
  -1.4654378e+00  -4.6783626e-01  -1
   3.1336406e-01  -2.6783626e+00   1
  -1.7695853e+00  -1.2514620e+00  -1
  -2.1290323e+00  -1.4385965e+00  -1
   4.7926267e-01  -2.4795322e+00   1
  -3.1336406e-01  -2.4327485e+00   1
   5.5299539e-01  -1.9532164e+00   1
  -2.5161290e+00  -1.8011696e+00  -1
  -1.8709677e+00  -1.7894737e+00  -1
  -3.5944700e-01  -1.4035088e-01  -1
  -1.8801843e+00  -1.8245614e+00  -1
   6.0829493e-01  -2.3508772e+00   1
  -2.2672811e+00  -1.9064327e+00  -1
   5.7142857e-01  -2.0701754e+00   1
  -2.1935484e+00   5.2631579e-01  -1
  -6.1751152e-01  -2.4912281e+00   1
  -7.4654378e-01   6.1988304e-01  -1
  -2.7649770e-01  -2.3391813e+00   1
   2.3041475e-01  -2.8654971e+00   1
  -1.5944700e+00  -1.5906433e+00  -1
   2.7649770e-02  -2.0701754e+00   1
   2.4884793e-01  -2.7836257e+00   1
   3.0414747e-01  -2.5614035e+00   1
  -7.0046083e-01  -2.3625731e+00   1
   3.6866359e-02  -2.0233918e+00   1
  -2.1382488e+00  -9.9415205e-01  -1
   1.9354839e-01  -1.8479532e+00   1
   4.2396313e-01  -2.4327485e+00   1
  -5.3456221e-01  -2.4444444e+00   1
  -1.9262673e+00  -5.9649123e-01  -1
   4.5161290e-01  -2.3274854e+00   1
   1.5668203e-01  -1.6140351e+00   1
